Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-10-31,6.72,6.93,6.72,6.91
2008-11-28,6.9,6.9,6.66,6.66
2008-12-31,6.64,6.64,5.98,5.98
2009-01-30,5.95,5.95,4.94,4.94
2009-02-27,4.9,4.9,4.57,4.57
2009-03-31,4.55,4.55,4.29,4.31
2009-04-30,4.3,4.61,4.3,4.61
2009-05-29,4.61,5.03,4.61,5.03
2009-06-30,5.04,5.06,4.82,4.82
2009-07-31,4.8,4.8,4.52,4.53
2009-08-31,4.53,4.53,4.47,4.49
2009-09-30,4.49,4.51,4.48,4.49
2009-10-30,4.49,4.5,4.47,4.48
2009-11-30,4.48,4.49,4.47,4.48
2009-12-31,4.48,4.53,4.48,4.53
2010-01-29,4.52,4.53,4.5,4.5
2010-02-26,4.49,4.5,4.44,4.45
2010-03-31,4.45,4.45,4.41,4.41
2010-04-30,4.38,4.38,4.26,4.26
2010-05-31,4.26,4.28,4.25,4.25
2010-06-30,4.25,4.25,4.23,4.25
2010-07-30,4.25,4.25,4.23,4.23
2010-08-31,4.23,4.25,4.23,4.24
2010-09-30,4.24,4.26,4.24,4.26
2010-10-29,4.26,4.27,4.25,4.26
2010-11-30,4.26,4.3,4.26,4.3
2010-12-31,4.33,4.37,4.33,4.37
2011-01-31,4.37,4.5,4.37,4.5
2011-02-28,4.5,4.54,4.5,4.54
2011-03-31,4.55,4.57,4.55,4.57
2011-04-29,4.57,4.67,4.57,4.66
2011-05-31,4.67,4.77,4.67,4.76
2011-06-30,4.76,4.86,4.76,4.85
2011-07-29,4.86,4.86,4.85,4.85
2011-08-31,4.85,4.88,4.85,4.88
2011-09-30,4.88,4.89,4.88,4.88
2011-10-31,4.88,4.94,4.88,4.94
2011-11-30,4.94,4.97,4.94,4.97
2011-12-30,4.97,5,4.97,5
2012-01-31,5,5.01,5,5
2012-02-29,5,5,4.98,4.98
2012-03-30,4.98,4.98,4.96,4.96
2012-04-30,4.96,4.98,4.96,4.98
2012-05-31,4.97,5.14,4.97,5.14
2012-06-29,5.14,5.15,5.14,5.15
2012-07-31,5.15,5.17,5.15,5.15
2012-08-31,5.15,5.15,5.02,5.02
2012-09-28,5.01,5.01,4.95,4.95
2012-10-31,4.95,4.95,4.72,4.72
2012-11-30,4.71,4.71,4.44,4.44
2012-12-31,4.41,4.41,3.98,3.98
2013-01-31,3.96,3.96,3.81,3.81
2013-02-28,3.8,3.8,3.6,3.6
2013-03-29,3.6,3.61,3.39,3.39
2013-04-30,3.39,3.39,3.02,3.02
2013-05-31,3,3,2.65,2.65
2013-06-28,2.65,2.71,2.65,2.71
2013-07-31,2.71,2.74,2.71,2.74
2013-08-30,2.74,2.77,2.74,2.77
2013-09-30,2.76,2.77,2.75,2.75
2013-10-31,2.75,2.75,2.75,2.75
2013-11-29,2.75,2.75,2.75,2.75
2013-12-31,2.75,2.75,2.75,2.75
2014-01-31,2.75,2.76,2.75,2.76
2014-02-28,2.77,2.78,2.77,2.78
2014-03-31,2.78,2.79,2.78,2.79
2014-04-30,2.79,2.79,2.79,2.79
2014-05-30,2.79,2.8,2.79,2.8
2014-06-30,2.8,2.8,2.74,2.74
2014-07-31,2.74,2.74,2.73,2.73
2014-08-29,2.72,2.72,2.62,2.62
2014-09-30,2.61,2.61,2.23,2.23
2014-10-31,2.21,2.21,1.94,1.94
2014-11-28,1.94,2.03,1.93,2.03
2014-12-31,2.03,2.04,2.03,2.04
2015-01-30,2.04,2.04,1.97,1.97
2015-02-27,1.97,1.97,1.79,1.79
2015-03-31,1.79,1.79,1.68,1.68
2015-04-30,1.68,1.68,1.68,1.68
2015-05-29,1.69,1.8,1.69,1.8
2015-06-30,1.8,1.82,1.8,1.82
2015-07-31,1.82,1.83,1.82,1.83
2015-08-31,1.83,1.83,1.83,1.83
2015-09-30,1.83,1.84,1.83,1.84
2015-10-30,1.84,1.84,1.83,1.83
2015-11-30,1.83,1.83,1.82,1.82
2015-12-31,1.82,1.82,1.79,1.79
2016-01-29,1.79,1.79,1.77,1.77
2016-02-29,1.77,1.77,1.76,1.76
2016-03-31,1.76,1.76,1.76,1.76
2016-04-29,1.76,1.76,1.76,1.76
2016-05-31,1.76,1.76,1.76,1.76
2016-06-30,1.76,1.81,1.76,1.81
2016-07-29,1.81,1.81,1.81,1.81
2016-08-31,1.81,1.81,1.81,1.81
2016-09-30,1.81,1.81,1.81,1.81
2016-10-31,1.81,1.84,1.81,1.84
2016-11-30,1.84,1.85,1.84,1.85
2016-12-30,1.85,1.85,1.85,1.85
2017-01-31,1.85,1.85,1.85,1.85
2017-02-28,1.85,1.85,1.85,1.85
2017-03-31,1.85,1.85,1.85,1.85
2017-04-28,1.85,1.85,1.85,1.85
2017-05-31,1.85,1.85,1.85,1.85
2017-06-30,1.85,1.85,1.85,1.85
2017-07-31,1.85,1.85,1.85,1.85
2017-08-31,1.85,1.85,1.85,1.85
2017-09-29,1.85,1.85,1.85,1.85
2017-10-31,1.85,1.85,1.85,1.85
2017-11-30,1.85,1.85,1.85,1.85
2017-12-29,1.85,1.85,1.85,1.85
2018-01-31,1.85,1.85,1.85,1.85
2018-02-28,1.85,1.85,1.85,1.85
2018-03-30,1.85,1.85,1.82,1.82
2018-04-30,1.82,1.82,1.82,1.82
2018-05-31,1.82,1.82,1.82,1.82
2018-06-29,1.82,1.82,1.82,1.82
2018-07-31,1.82,1.82,1.82,1.82
2018-08-31,1.82,1.87,1.82,1.87
2018-09-28,1.87,1.87,1.87,1.87
2018-10-31,1.87,1.87,1.87,1.87
2018-11-30,1.87,1.87,1.87,1.87
